,player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
33,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,28-014,1993,18.0,17.0,1602.0,18.0,1.01,62.0,50.0,80.6,9.0,3.0,5.0,6.0,35.3,8.0,6.0,2.0,0.0,17.8,0.0,2.0,1.0,22.9,0.26,5.9,0.33,119.0,348.0,34.2,410.0,88.0,59.5,47.5,133.0,78.2,58.2,130.0,14.0,10.8,5.0,0.28,11.5
34,Matías Dituro,ar ARG,GK,Celta Vigo,34-245,1987,19.0,19.0,1710.0,22.0,1.16,78.0,57.0,73.1,6.0,5.0,8.0,7.0,36.8,4.0,1.0,3.0,0.0,19.0,0.0,1.0,0.0,27.4,0.31,5.4,0.28,175.0,400.0,43.8,564.0,67.0,54.4,44.3,134.0,69.4,53.9,125.0,16.0,12.8,19.0,1.0,17.2
35,Ouparine Djoco,sn SEN,GK,Clermont Foot,23-261,1998,5.0,5.0,450.0,6.0,1.2,13.0,7.0,53.8,1.0,1.0,3.0,1.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,2.5,0.19,-2.5,-0.5,21.0,54.0,38.9,113.0,22.0,36.3,34.8,25.0,52.0,38.3,27.0,1.0,3.7,4.0,0.8,14.9
36,Marko Dmitrović,rs SRB,GK,Sevilla,29-349,1992,2.0,2.0,180.0,3.0,1.5,9.0,6.0,66.7,2.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.8,0.42,0.8,0.39,3.0,12.0,25.0,45.0,9.0,17.8,26.9,10.0,40.0,37.4,15.0,1.0,6.7,5.0,2.5,20.2
37,Gianluigi Donnarumma,it ITA,GK,Paris S-G,22-317,1999,8.0,8.0,720.0,6.0,0.75,25.0,19.0,76.0,6.0,1.0,1.0,3.0,37.5,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,7.4,0.31,1.4,0.17,16.0,32.0,50.0,178.0,56.0,13.5,23.5,48.0,16.7,22.1,45.0,3.0,6.7,13.0,1.63,17.4
38,Bartłomiej Drągowski,pl POL,"GK,DF",Fiorentina,24-142,1997,5.0,5.0,376.0,6.0,1.44,16.0,11.0,68.8,2.0,0.0,3.0,1.0,20.0,2.0,1.0,1.0,0.0,4.2,0.0,1.0,0.0,6.5,0.29,0.5,0.11,34.0,70.0,48.6,195.0,15.0,29.7,33.1,27.0,44.4,43.1,20.0,3.0,15.0,9.0,2.15,17.9
39,Martin Dúbravka,sk SVK,GK,Newcastle Utd,32-358,1989,7.0,7.0,630.0,15.0,2.14,35.0,21.0,60.0,1.0,2.0,4.0,1.0,14.3,1.0,1.0,0.0,0.0,7.0,0.0,2.0,0.0,15.5,0.44,0.5,0.07,60.0,160.0,37.5,175.0,26.0,49.7,42.1,81.0,90.1,62.4,53.0,3.0,5.7,3.0,0.43,12.2
40,Ederson,br BRA,GK,Manchester City,28-144,1993,20.0,20.0,1800.0,13.0,0.65,45.0,31.0,73.3,16.0,2.0,2.0,11.0,55.0,1.0,1.0,0.0,0.0,20.0,0.0,1.0,0.0,10.8,0.22,-2.2,-0.11,82.0,134.0,61.2,500.0,97.0,22.0,29.3,82.0,29.3,34.5,113.0,11.0,9.7,21.0,1.05,16.9
41,Aarón Escandell,es ESP,GK,Granada,26-103,1995,4.0,3.0,284.0,6.0,1.9,14.0,10.0,71.4,0.0,2.0,1.0,1.0,33.3,2.0,2.0,0.0,0.0,3.2,0.0,0.0,0.0,4.2,0.19,-1.8,-0.58,39.0,89.0,43.8,88.0,13.0,68.2,48.1,37.0,78.4,54.3,26.0,2.0,7.7,7.0,2.22,14.5
42,Michael Esser,de GER,GK,Bochum,34-047,1987,1.0,1.0,90.0,2.0,2.0,5.0,4.0,80.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.21,0.0,0.0,8.0,22.0,36.4,30.0,6.0,50.0,40.4,13.0,53.8,40.5,14.0,0.0,0.0,0.0,0.0,8.3
43,Łukasz Fabiański,pl POL,GK,West Ham,36-265,1985,20.0,20.0,1800.0,27.0,1.35,90.0,61.0,71.1,10.0,4.0,6.0,4.0,20.0,2.0,1.0,1.0,0.0,20.0,1.0,3.0,0.0,28.0,0.3,1.0,0.05,125.0,316.0,39.6,362.0,76.0,56.1,44.8,154.0,73.4,55.0,184.0,6.0,3.3,4.0,0.2,12.0
44,Wladimiro Falcone,it ITA,GK,Sampdoria,26-271,1995,1.0,1.0,90.0,1.0,1.0,4.0,3.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,0.0,-0.02,4.0,20.0,20.0,33.0,6.0,45.5,37.3,7.0,71.4,48.6,10.0,0.0,0.0,0.0,0.0,12.5
45,Wuilker Faríñez,ve VEN,GK,Lens,23-327,1998,2.0,1.0,135.0,3.0,2.0,6.0,3.0,50.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.1,0.36,-0.9,-0.58,2.0,5.0,40.0,27.0,8.0,14.8,25.7,13.0,7.7,18.9,16.0,0.0,0.0,3.0,2.0,14.0
46,Aitor Fernández,es ESP,GK,Levante,30-250,1991,10.0,10.0,896.0,24.0,2.41,61.0,38.0,62.3,0.0,5.0,5.0,1.0,10.0,1.0,1.0,0.0,0.0,10.0,0.0,7.0,0.0,18.7,0.29,-5.3,-0.53,50.0,121.0,41.3,204.0,43.0,43.6,39.9,75.0,42.7,35.2,90.0,4.0,4.4,6.0,0.6,13.9
47,Álvaro Fernández,es ESP,GK,Brentford,23-270,1998,10.0,10.0,900.0,17.0,1.7,48.0,33.0,66.7,3.0,2.0,5.0,1.0,10.0,1.0,1.0,0.0,0.0,10.0,0.0,3.0,1.0,17.1,0.34,1.1,0.11,68.0,196.0,34.7,341.0,49.0,46.9,37.9,68.0,52.9,38.6,99.0,6.0,6.1,9.0,0.9,14.4
48,Vincenzo Fiorillo,it ITA,GK,Salernitana,31-360,1990,1.0,1.0,90.0,5.0,5.0,8.0,3.0,37.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.6,0.32,-2.4,-2.42,11.0,19.0,57.9,20.0,4.0,50.0,41.3,11.0,81.8,53.3,7.0,1.0,14.3,0.0,0.0,10.0
49,Mark Flekken,nl NED,GK,Freiburg,28-209,1993,17.0,17.0,1530.0,16.0,0.94,76.0,62.0,80.3,8.0,5.0,4.0,6.0,35.3,1.0,1.0,0.0,0.0,17.0,1.0,2.0,1.0,19.1,0.24,4.1,0.24,164.0,380.0,43.2,564.0,71.0,48.6,43.1,136.0,77.9,63.6,154.0,11.0,7.1,12.0,0.71,15.2
50,Fraser Forster,eng ENG,GK,Southampton,33-297,1988,2.0,2.0,180.0,3.0,1.5,13.0,11.0,84.6,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,4.3,0.25,1.3,0.63,23.0,61.0,37.7,60.0,4.0,73.3,55.1,24.0,70.8,51.1,30.0,2.0,6.7,2.0,1.0,12.2
51,Ben Foster,eng ENG,GK,Watford,38-280,1983,8.0,8.0,720.0,13.0,1.62,34.0,21.0,61.8,3.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,2.0,0.0,13.3,0.38,0.3,0.04,79.0,197.0,40.1,207.0,22.0,66.7,51.5,68.0,86.8,63.7,73.0,4.0,5.5,8.0,1.0,17.0
52,Marius Funk,de GER,GK,Greuther Fürth,26-007,1996,8.0,8.0,720.0,30.0,3.75,52.0,26.0,46.2,0.0,0.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,4.0,2.0,24.6,0.45,-3.4,-0.43,70.0,193.0,36.3,293.0,28.0,49.5,42.1,69.0,69.6,53.8,51.0,3.0,5.9,12.0,1.5,17.0
53,Gauthier Gallon,fr FRA,GK,Troyes,28-260,1993,19.0,19.0,1710.0,28.0,1.47,84.0,59.0,69.0,4.0,5.0,10.0,3.0,15.8,2.0,2.0,0.0,0.0,19.0,0.0,6.0,2.0,24.3,0.27,-1.7,-0.09,154.0,337.0,45.7,523.0,102.0,45.9,38.7,158.0,61.4,44.7,174.0,14.0,8.0,11.0,0.58,12.8
54,David de Gea,es ESP,GK,Manchester Utd,31-062,1990,19.0,19.0,1710.0,27.0,1.42,90.0,64.0,71.1,9.0,4.0,6.0,4.0,21.1,4.0,1.0,3.0,0.0,19.0,0.0,4.0,2.0,32.5,0.35,7.5,0.4,74.0,182.0,40.7,290.0,61.0,34.5,34.5,157.0,52.2,43.4,155.0,7.0,4.5,4.0,0.21,13.9
55,Rafał Gikiewicz,pl POL,GK,Augsburg,34-074,1987,17.0,17.0,1530.0,26.0,1.53,70.0,46.0,65.7,4.0,6.0,7.0,5.0,29.4,2.0,2.0,0.0,0.0,17.0,0.0,2.0,2.0,21.8,0.29,-2.2,-0.13,120.0,315.0,38.1,458.0,70.0,48.0,40.7,133.0,71.4,54.2,143.0,10.0,7.0,17.0,1.0,15.6
56,Alfred Gomis,sn SEN,GK,Rennes,28-125,1993,18.0,18.0,1620.0,16.0,0.89,47.0,32.0,72.3,9.0,4.0,5.0,8.0,44.4,3.0,3.0,0.0,0.0,18.0,0.0,2.0,0.0,16.9,0.33,0.9,0.05,93.0,203.0,45.8,426.0,91.0,29.8,31.5,114.0,66.7,50.1,171.0,9.0,5.3,12.0,0.67,14.7
57,Ivo Grbić,hr CRO,GK,Lille,25-355,1996,17.0,17.0,1530.0,19.0,1.12,66.0,48.0,72.7,7.0,6.0,4.0,2.0,11.8,1.0,1.0,0.0,0.0,17.0,1.0,4.0,0.0,19.4,0.28,0.4,0.02,98.0,256.0,38.3,361.0,70.0,47.6,40.3,133.0,63.2,47.5,164.0,18.0,11.0,9.0,0.53,13.9
58,Etienne Green,eng ENG,GK,Saint-Étienne,21-173,2000,15.0,15.0,1197.0,27.0,2.03,67.0,43.0,61.2,2.0,5.0,8.0,1.0,6.7,1.0,1.0,0.0,0.0,13.3,1.0,3.0,2.0,20.7,0.3,-4.3,-0.32,75.0,188.0,39.9,295.0,65.0,41.7,37.9,109.0,59.6,47.4,112.0,9.0,8.0,8.0,0.6,14.5
59,Dominik Greif,sk SVK,GK,Mallorca,24-277,1997,1.0,1.0,90.0,3.0,3.0,6.0,3.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.1,0.19,-1.9,-1.87,2.0,13.0,15.4,21.0,6.0,42.9,37.8,10.0,40.0,37.4,8.0,0.0,0.0,1.0,1.0,13.0
60,Vicente Guaita,es ESP,GK,Crystal Palace,34-363,1987,18.0,18.0,1620.0,25.0,1.39,74.0,51.0,68.9,5.0,7.0,6.0,5.0,27.8,2.0,2.0,0.0,0.0,18.0,1.0,8.0,0.0,21.0,0.27,-4.0,-0.22,95.0,203.0,46.8,444.0,92.0,33.3,32.7,116.0,47.4,36.8,139.0,13.0,9.4,9.0,0.5,14.1
61,Péter Gulácsi,hu HUN,GK,RB Leipzig,31-247,1990,16.0,16.0,1440.0,19.0,1.19,56.0,40.0,71.4,6.0,4.0,6.0,3.0,18.8,3.0,3.0,0.0,0.0,16.0,0.0,4.0,0.0,20.8,0.33,1.8,0.11,79.0,202.0,39.1,459.0,71.0,36.2,35.1,89.0,40.4,37.0,114.0,3.0,2.6,21.0,1.31,17.8
62,Angus Gunn,eng ENG,GK,Norwich City,25-351,1996,2.0,2.0,180.0,8.0,4.0,10.0,4.0,40.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,6.3,0.45,-1.7,-0.87,14.0,34.0,41.2,53.0,5.0,56.6,42.5,12.0,33.3,33.2,13.0,0.0,0.0,4.0,2.0,20.4
63,Samir Handanović,si SVN,GK,Inter,37-178,1984,19.0,19.0,1710.0,15.0,0.79,63.0,51.0,81.0,14.0,4.0,1.0,9.0,47.4,3.0,3.0,0.0,0.0,19.0,0.0,2.0,1.0,14.7,0.2,0.7,0.04,117.0,200.0,58.5,534.0,76.0,32.4,30.9,82.0,32.9,30.8,139.0,6.0,4.3,2.0,0.11,11.5
64,Wayne Hennessey,wls WAL,GK,Burnley,34-349,1987,2.0,2.0,180.0,6.0,3.0,13.0,7.0,53.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.3,0.27,-1.7,-0.84,26.0,65.0,40.0,58.0,8.0,75.9,57.4,22.0,95.5,70.0,20.0,1.0,5.0,3.0,1.5,15.9
65,Sergio Herrera,es ESP,GK,Osasuna,28-217,1993,18.0,18.0,1620.0,23.0,1.28,63.0,42.0,66.7,5.0,7.0,6.0,6.0,33.3,2.0,2.0,0.0,0.0,18.0,0.0,5.0,1.0,20.0,0.3,-2.0,-0.11,221.0,453.0,48.8,419.0,31.0,77.1,54.6,151.0,86.1,61.0,206.0,11.0,5.3,19.0,1.06,15.0
66,Marwin Hitz,ch SUI,GK,Dortmund,34-112,1987,2.0,1.0,135.0,4.0,2.67,9.0,6.0,66.7,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,2.9,0.22,-1.1,-0.74,4.0,9.0,44.4,47.0,9.0,19.1,29.4,7.0,0.0,23.4,11.0,2.0,18.2,1.0,0.67,13.9
67,Timo Horn,de GER,GK,Köln,28-241,1993,12.0,12.0,1080.0,21.0,1.75,53.0,33.0,60.4,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,1.0,18.2,0.35,-1.8,-0.15,82.0,157.0,52.2,382.0,44.0,33.8,34.9,76.0,36.8,36.7,85.0,3.0,3.5,12.0,1.0,16.1
68,Lukáš Hrádecký,fi FIN,GK,Leverkusen,32-045,1989,17.0,17.0,1530.0,28.0,1.65,92.0,66.0,71.7,8.0,4.0,5.0,4.0,23.5,4.0,2.0,1.0,1.0,17.0,1.0,4.0,0.0,25.7,0.27,-2.3,-0.13,106.0,274.0,38.7,566.0,96.0,36.9,35.0,135.0,48.1,41.8,140.0,8.0,5.7,14.0,0.82,15.6
